PAPI_BR_CN,PAPI_BR_INS,PAPI_BR_MSP,PAPI_BR_NTK,PAPI_BR_PRC,PAPI_BR_TKN,PAPI_BR_UCN,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_CA_SHR,PAPI_CA_SNP,PAPI_FUL_CCY,PAPI_FUL_ICY,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L1_TCM,PAPI_L2_DCA,PAPI_L2_DCM,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L2_ICA,PAPI_L2_ICH,PAPI_L2_ICM,PAPI_L2_ICR,PAPI_L2_LDM,PAPI_L2_STM,PAPI_L2_TCA,PAPI_L2_TCM,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_DCA,PAPI_L3_DCR,PAPI_L3_DCW,PAPI_L3_ICA,PAPI_L3_ICR,PAPI_L3_LDM,PAPI_L3_TCA,PAPI_L3_TCM,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_LD_INS,PAPI_LST_INS,PAPI_MEM_WCY,PAPI_NATIVE_MASK,PAPI_PRESET_MASK,PAPI_PRF_DM,PAPI_REF_CYC,PAPI_RES_STL,PAPI_SR_INS,PAPI_STL_CCY,PAPI_STL_ICY,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_TOT_CYC,PAPI_TOT_INS,PAPI_VEC_DP,PAPI_VEC_SP
595506569,901924902,843333,336744477,590470280,256625940,304707448,542,39151,10831,38927,887175132,473512686,70230,35753640,325010,5183,35597565,35589139,11690,56829,8642,35446275,35564792,27284,35832453,7260,549,71861538,38982,35827789,104891,11379,7294,541,27316,27316,6,39206,127,39094,548,1135785480,1799691271,7022,1523072468,432805,3921,1384839720,3102164,663895111,368252527,82576378,15133,2394,1523089261,4054009288,4,6500013
358620039,543237682,496886,202144532,354431392,154025562,182906823,575,39839,10955,39993,531755887,284421945,68362,21435376,243185,4899,21629750,21622272,12180,55319,8429,21545234,21552256,27835,21395899,7382,586,43210005,40270,21574506,56278,12043,7507,576,27460,27460,2,39830,136,39212,563,681782728,1080286972,6085,915325510,304030,4348,831839280,2055862,398493380,220247732,49609664,10089,2029,950616168,2433403710,4,3900013
291925071,443592669,375756,164994654,287915163,124375604,149956314,603,39379,10745,38969,438327690,235127443,174325,26143889,1057362,4642,26351418,26341758,11915,155104,9593,26012091,26009879,27034,25984224,7364,577,53219255,38599,26294409,8146,11690,7267,583,27070,27070,2,39530,116,38689,620,557782169,886934776,4623,747151636,1280269,4195,681656760,1571295,329142857,183759373,42634447,8646,1911,750209965,1988751359,4,3250013
608425007,939792602,825958,353895991,603252640,252576146,329656640,537,39910,11021,39501,941551720,517995813,83828,53262124,2322579,5080,51205152,51191374,12091,63627,23482,51227857,51049101,27862,51274145,7274,561,104058519,39361,51272383,10750,12069,7319,553,27420,27420,10,39720,170,39184,573,1194284117,1915737004,5770,1604168175,2678582,4246,1453727880,3921775,721443145,392996829,94738352,29328,1883,1597780950,4245752009,4,7150013
58427842,90294854,100930,32394646,55164594,23075676,30155968,524,39458,10776,38978,85563988,41101469,56587,4785873,251131,3860,4932623,4926168,11621,45043,8314,4803880,4860294,27516,4808726,7245,516,9746209,39384,4910753,7050,11717,7243,553,27336,27336,4,38894,107,38578,554,109282025,175234309,5156,148154852,293165,4169,134178240,483427,65942670,37426253,9125801,4576,1853,148685167,388247043,4,650013
62602752,94969973,103557,33893624,59376585,25775744,30656172,545,38695,10228,38342,89342589,47816927,57013,3915175,64679,3928,3757867,3751657,11512,46612,6918,3708471,3627309,26923,3724195,7272,534,7485706,38649,3719688,11612,11635,7242,557,26780,26780,3,38501,143,38217,536,114282269,180965321,5418,154300806,96349,3919,140563680,487615,66743739,37918084,9958215,3303,1937,154170359,407645913,4,650013
240225043,363942359,365447,134843536,236410613,102725433,122006263,572,39220,10818,39643,354737484,189615545,63082,14277404,157237,4587,14474050,14467142,11759,50626,7912,14394604,14279969,27681,14393969,7239,537,28860032,39685,14293434,42143,11951,7267,582,27352,27352,6,39198,201,39012,530,454781633,720584376,5585,609710985,280374,4456,554832960,1387805,265792964,147111727,33123244,7742,2030,610747677,1623095697,4,2600013
168409058,260176414,223506,96695161,164912571,68975608,90056370,548,38833,10475,38477,257189383,141755677,60474,13965034,667839,4160,14112857,14104740,11823,48199,11310,14107568,14006069,27231,14129468,7423,564,29117091,38561,14200466,7821,11783,7412,561,27302,27302,6,38902,117,38684,570,326283211,523336203,4568,438759982,767164,4148,397749960,1185689,197043422,108111091,25549172,9701,1840,438269245,1159753502,4,1950013
525052320,797420209,687311,295445539,520311648,227375891,271106546,520,39192,10539,38680,786774170,424317345,67460,49017609,68639,4807,48996495,48988952,11999,53806,8126,49139388,48929250,27675,48853828,7408,547,98212114,39220,49028438,9482,11852,7417,560,27285,27285,2,39177,170,39003,585,1012383914,1609035950,5303,1352824153,90988,4331,1229360040,2897878,596642918,328340100,80285760,34077,2494,1352986157,3592155771,4,5850020
582922290,885339958,761890,328243201,578154319,252625013,301206610,540,39095,10806,39182,873591669,471264211,65772,54494891,72614,5037,54694984,54687378,12031,53067,9115,54301778,54477555,27387,54370369,7249,560,108662654,39476,54794251,9610,12038,7428,563,27467,27467,2,39329,157,38483,538,1124781165,1787683871,4877,1502108981,91568,4070,1364899080,3092429,662892986,359405850,89262643,30057,2705,1501862341,3990996709,4,6500020
113427586,175244931,178309,64544949,109990684,46025797,60106358,570,39568,10769,38989,170428994,87254588,58554,9457985,456783,3877,9475904,9468414,12069,47586,9468,9630701,9458131,27394,9459561,7228,604,19980332,39430,9593157,7422,11829,7306,587,27409,27409,1,39199,100,38962,586,217782842,349286638,5122,293111424,532741,4228,266112960,857017,131493107,72348969,17423559,7683,1945,292631243,774005024,4,1300013
550918158,851335672,754067,319245685,546134809,229626350,299206640,557,39573,10791,39936,849956659,465111165,70818,46429621,144919,7182,46279087,46268989,12193,55794,12505,45649324,48317735,27235,46537049,7413,584,92367916,39226,46751536,9577,12269,7405,544,26915,26915,5,39834,178,39333,558,1085784862,1741687832,5924,1448396007,165335,4650,1318097760,2926017,655893707,347574312,83636237,26648,1923,1451979276,3845010525,4,6500020
352615030,535432668,417271,198542362,348577422,151624999,181106434,545,39610,10977,38817,529959188,286165056,588764,34278576,1140620,95402,34837030,34822132,11817,642909,14694,34273446,34214630,27403,34176697,7386,552,69489866,39791,34721312,18546,11958,7364,560,27115,27115,5,39497,187,39522,568,675181238,1073083332,6096,906733913,1376182,3835,823747440,2131550,397892865,224009274,55922647,16672,1993,910808152,2404593338,4,3900013
176516765,268284095,241692,99095137,172957501,74675968,90056389,556,39435,11011,39109,263454305,141218795,127768,15686942,649745,4024,15823904,15815478,11631,83507,6977,15764052,15693423,27798,15795183,7203,536,32085945,39147,15731957,7130,12079,7298,558,27117,27117,2,39526,181,39032,560,334983224,532637150,5204,458064488,793041,4128,408718800,975541,197643156,111157403,25798613,5979,1889,449178083,1194254840,4,1950013
62655158,95022617,81150,33893551,59362873,25775580,30656397,535,38450,10392,38327,89088373,47694675,56177,3664302,92911,3847,3729342,3723135,11493,45711,6613,3716286,3664373,27194,3668224,7282,556,7424405,38761,3753679,19070,11490,7307,536,26955,26955,6,38873,156,38063,567,114282164,181035208,5084,154258888,111710,4270,140128320,470129,66743297,38183504,8958587,3352,1833,154356469,407650860,4,650013
553446076,854863556,756203,321743339,548520136,229625826,299706761,562,39630,11091,38768,857657300,470380811,76874,46436727,1580619,3927,47481829,47469809,11813,59325,21030,46240187,46201055,27667,46398321,7341,544,94174214,39115,46689584,9199,11766,7307,548,27272,27272,5,39324,231,38732,569,1085783194,1741686599,5996,1461973432,2421321,4433,1330569000,3336904,655893851,354909345,83205903,26696,2326,1457188796,3860005568,4,6500013
61138506,93005771,107611,33194121,57881170,24975406,30156343,535,39249,10754,38574,87685254,43267658,70131,5323095,245755,4009,5410167,5403507,11560,61200,6778,5297367,5336644,27065,5366275,7272,535,10965056,39109,5434501,6914,11507,7289,526,27485,27485,3,38497,160,38806,537,112181751,178334300,6147,151590705,289934,3440,137217600,409780,66142888,37558540,14767446,2047,1736,151681033,399746330,4,650013
592945644,898363339,764147,334245267,588210548,256625761,304206605,526,39038,10437,38930,880485981,471381748,74221,38198869,61271,6383,38139149,38128991,11982,59782,11340,38182037,34779854,27799,37982077,7380,540,69906616,39078,38067395,23456,11548,7273,535,27589,27589,3,39309,170,38638,532,1135782696,1799685083,5891,1515093850,78818,3978,1376235720,2862980,663892702,363980985,82547378,15916,2341,1513125592,4039002524,4,6500020
294420838,447088410,362055,165494410,290439423,126375669,150956404,548,38767,10467,38543,440054308,238545082,69167,28524622,506426,51023,28514503,28507875,11841,55168,6974,28477918,28467576,27351,28434160,7188,561,57476815,39507,28595522,281776,11789,7234,572,27426,27426,5,38828,125,38715,567,562782436,894435075,4216,755510742,502723,4411,687077520,1924194,331642961,184569216,50063162,15539,2107,756606640,2004251220,4,3250013
293166942,445334224,362973,164246066,289240971,126376062,150706584,565,39410,10401,38511,439332198,235843186,198157,27279468,60822,4883,27410184,27402652,11447,50362,7842,27277897,27388416,27340,27203680,7255,529,54654670,39057,27434620,9298,11606,7397,536,27720,27720,1,39586,148,39137,546,562783776,894436540,5697,752113716,75354,4152,682813800,1790754,331643175,186302478,45266298,15175,2121,751507317,1996755318,4,3250020
443415742,684933490,602183,257444276,438997801,183725773,239806626,545,39007,10582,39954,684392355,376949073,71463,37204680,1700586,4173,37268020,37256361,11864,55221,18654,37317711,37387198,27392,37094030,7375,566,76035987,39425,37058738,9156,12094,7457,545,27592,27592,4,40036,144,39341,542,868782769,1393585672,5345,1165214101,1962670,4691,1062109080,2900195,524793218,286478043,66610609,23712,1887,1170683812,3088501297,4,5200013
635381219,965649636,820624,359943527,630258173,273475544,329106875,545,39773,10823,38951,960204216,512489762,92015,57408109,96089,6832,58017301,58005283,11632,61366,11670,57235843,57260925,27675,57383902,7290,567,114798861,38904,57423123,11887,11937,7286,556,27265,27265,3,39060,154,38921,590,1226181015,1949835665,6647,1635429157,145125,4082,1483199040,2992682,723642996,392193842,90101542,20263,1883,1633563129,4355752187,4,7150020
388461110,600028804,500753,225295314,384142999,160775837,209856377,531,39412,10622,38549,598914301,330003296,69464,32777017,1493704,4037,32514787,32503756,11423,53443,17300,32555430,32572525,27253,33262395,7204,552,66569662,39117,32750531,8282,11658,7190,550,27224,27224,3,39305,129,38286,535,760283285,1219535339,5514,1017968852,1718405,3533,925291920,2675325,459242770,249777161,58853220,21331,1893,1021454933,2702755372,4,4550013
119865167,182082402,174316,66345664,116413429,50625935,60506283,561,39029,10474,38634,176103053,90988293,170862,11580095,189947,4477,11530989,11524670,11935,65833,6951,11456812,11386722,27300,11494908,7188,601,23103653,39276,11538108,7026,11823,7274,569,27494,27494,2,39173,137,38824,592,225583691,358482513,8202,303962315,183653,4195,276224160,779217,132892824,74924832,18497722,7784,2018,303919461,803206637,4,1300013
